Course Name,Section Name,Faculty Name,Time,Room,Semester
ACT202,10,MRe,TBA,TBA,Summer 2024 (242)
ARC112,2,SnF,TBA,TBA,Summer 2024 (242)
ARC316,2,SJd,TBA,TBA,Summer 2024 (242)
BBT314,2,KNH,TBA,TBA,Summer 2024 (242)
BBT622,1,SRS1,TBA,TBA,Summer 2024 (242)
BEN205,47,Sjj,TBA,TBA,Summer 2024 (242)
BUS112,15,MRM2,TBA,TBA,Summer 2024 (242)
BUS172,25,Hdo,TBA,TBA,Summer 2024 (242)
BUS498,10,ZkJ,TBA,TBA,Summer 2024 (242)
BUS498,65,SSA1,TBA,TBA,Summer 2024 (242)
BUS520,1,MdS,TBA,TBA,Summer 2024 (242)
BUS698,3,TBA,TBA,TBA,Summer 2024 (242)
CEE430,1,TMY,TBA,TBA,Summer 2024 (242)
CHE101,1,LIZN,TBA,TBA,Summer 2024 (242)
CHE202,11,MAR5,TBA,TBA,Summer 2024 (242)
CSE311,10,NLH,TBA,TBA,Summer 2024 (242)
CSE331,12,MARh,TBA,TBA,Summer 2024 (242)
CSE373,11,EKD,TBA,TBA,Summer 2024 (242)
CSE482,2,NqH,TBA,TBA,Summer 2024 (242)
CSE499A,16,Mdy,TBA,TBA,Summer 2024 (242)
DEV595,6,SBn,TBA,TBA,Summer 2024 (242)
ECO101,29,ABA,TBA,TBA,Summer 2024 (242)
ECO104,14,AKP,TBA,TBA,Summer 2024 (242)
ECO653,1,JVHn,TBA,TBA,Summer 2024 (242)
EEE154,2,MSRH,TBA,TBA,Summer 2024 (242)
EEE453,9,MARh,TBA,TBA,Summer 2024 (242)
EEE499A,19,SnS1,TBA,TBA,Summer 2024 (242)
EMB690,3,SJI1,TBA,TBA,Summer 2024 (242)
ENG102,25,KSS,TBA,TBA,Summer 2024 (242)
ENG103,20,FHs,TBA,TBA,Summer 2024 (242)
ENG105,3,Ndm,TBA,TBA,Summer 2024 (242)
ENG220,3,SlQ,TBA,TBA,Summer 2024 (242)
ENV107,14,SRT,TBA,TBA,Summer 2024 (242)
ENV307,2,SMO,TBA,TBA,Summer 2024 (242)
ETE111,12,SfA,TBA,TBA,Summer 2024 (242)
ETE331,1,SAM3,TBA,TBA,Summer 2024 (242)
ETE499A,27,HSM,TBA,TBA,Summer 2024 (242)
FIN254,27,MSHo,TBA,TBA,Summer 2024 (242)
FIN480,1,MAR3,TBA,TBA,Summer 2024 (242)
HIS102,4,AHB,TBA,TBA,Summer 2024 (242)
HIS103,42,SwH1,TBA,TBA,Summer 2024 (242)
INB372,7,FHZ,TBA,TBA,Summer 2024 (242)
LAW200,16,LKM,TBA,TBA,Summer 2024 (242)
LLM507,1,MJAn,TBA,TBA,Summer 2024 (242)
MAT120,18,Swk,TBA,TBA,Summer 2024 (242)
MAT130,22,MtM,TBA,TBA,Summer 2024 (242)
MAT480,1,Mla,TBA,TBA,Summer 2024 (242)
MGT314,11,BSK,TBA,TBA,Summer 2024 (242)
MGT489,4,QTI,TBA,TBA,Summer 2024 (242)
MIC315,3,FHo,TBA,TBA,Summer 2024 (242)
MIS107,8,KMS2,TBA,TBA,Summer 2024 (242)
MIS450,1,NwA,TBA,TBA,Summer 2024 (242)
MKT330,6,EhN,TBA,TBA,Summer 2024 (242)
MKT465,6,Onf,TBA,TBA,Summer 2024 (242)
PBH101,25,SbS,TBA,TBA,Summer 2024 (242)
PBH602,4,DKM,TBA,TBA,Summer 2024 (242)
PBH842,1,HtN,TBA,TBA,Summer 2024 (242)
PHR112,2,ReKm,TBA,TBA,Summer 2024 (242)
PHR211,1,ABp,TBA,TBA,Summer 2024 (242)
PHR425,3,Bnn,TBA,TBA,Summer 2024 (242)
PHR5112,1,hhm,TBA,TBA,Summer 2024 (242)
PHY107,8,SCG,TBA,TBA,Summer 2024 (242)
PHY108,19,GMBn,TBA,TBA,Summer 2024 (242)
POL101,31,NOS,TBA,TBA,Summer 2024 (242)
PSY101,21,ARK3,TBA,TBA,Summer 2024 (242)
SCM601,2,NsAk,TBA,TBA,Summer 2024 (242)
SOC101,56,Fns,TBA,TBA,Summer 2024 (242)
ACT201,1,AhU,RA 09:25 AM - 10:40 AM,NAC203,Summer 2024 (242)
ACT201,2,ASy,ST 09:25 AM - 10:40 AM,NAC203,Summer 2024 (242)
ACT201,3,ASy,ST 10:50 AM - 12:05 PM,NAC203,Summer 2024 (242)
ACT201,4,AWKm,ST 04:30 PM - 05:45 PM,NAC203,Summer 2024 (242)
ACT201,5,AWKm,ST 12:15 PM - 01:30 PM,NAC211,Summer 2024 (242)
ACT201,6,AWKm,ST 12:15 PM - 01:30 PM,NAC211_v,Summer 2024 (242)
ACT201,7,FI,MW 01:40 PM - 02:55 PM,NAC203,Summer 2024 (242)
ACT201,8,FI,MW 12:15 PM - 01:30 PM,NAC203,Summer 2024 (242)
ACT201,9,FJM,MW 04:30 PM - 05:45 PM,NAC203,Summer 2024 (242)
ACT201,10,IAC,ST 08:00 AM - 09:15 AM,NAC203,Summer 2024 (242)
ACT201,11,IAC,ST 12:15 PM - 01:30 PM,NAC203,Summer 2024 (242)
ACT201,12,MdM,MW 12:15 PM - 01:30 PM,NAC211,Summer 2024 (242)
ACT201,13,MdM,MW 12:15 PM - 01:30 PM,NAC211_v,Summer 2024 (242)
ACT201,14,MGR,MW 08:00 AM - 09:15 AM,NAC203,Summer 2024 (242)
ACT201,15,MIBS,ST 09:25 AM - 10:40 AM,NAC211,Summer 2024 (242)
ACT201,16,MIBS,ST 09:25 AM - 10:40 AM,NAC211_v,Summer 2024 (242)
ACT201,17,TBA,ST 01:40 PM - 02:55 PM,NAC203,Summer 2024 (242)
