SRL,Course,Section,Faculty,Time,Room,Seats Available
1.,ACT201,1,ARM,RA 01:00 PM - 02:30 PM,NAC207,0
2.,ACT201,2,ARM,RA 04:20 PM - 05:50 PM,NAC206,0
3.,ACT201,3,ASY,ST 01:00 PM - 02:30 PM,NAC310,0
4.,ACT201,4,ASY,ST 09:40 AM - 11:10 AM,NAC206,0
5.,ACT201,5,AWKM,RA 01:00 PM - 02:30 PM,NAC309,1
6.,ACT201,6,NHO,ST 02:40 PM - 04:10 PM,NAC207,0
7.,ACT201,7,NHO,ST 04:20 PM - 05:50 PM,NAC207,0
8.,ACT201,8,NHO,ST 09:40 AM - 11:10 AM,NAC207,0
9.,ACT201,9,NHO,ST 11:20 AM - 12:50 PM,NAC207,0
10.,ACT201,10,FI,MW 01:00 PM - 02:30 PM,NAC206,0
11.,ACT201,11,FI,MW 02:40 PM - 04:10 PM,NAC207,0
12.,ACT201,12,IAC,MW 08:00 AM - 09:30 AM,NAC206,0
13.,ACT201,13,MDM,MW 11:20 AM - 12:50 PM,NAC309,0
14.,ACT201,14,MGR,MW 09:40 AM - 11:10 AM,NAC309,0
15.,ACT201,15,MIBS,MW 09:40 AM - 11:10 AM,NAC310,0
16.,ACT201,16,MIBS,MW 11:20 AM - 12:50 PM,NAC310,0
17.,ACT201,17,MNl1,RA 09:40 AM - 11:10 AM,NAC206,0
18.,ACT201,18,MRE,RA 11:20 AM - 12:50 PM,NAC309,0
19.,ACT201,19,NNH,ST 01:00 PM - 02:30 PM,NAC513,0
20.,ACT201,20,NNH,ST 09:40 AM - 11:10 AM,NAC513,0
21.,ACT201,21,SHA1,ST 02:40 PM - 04:10 PM,NAC513,0
22.,ACT201,22,SHA1,ST 04:20 PM - 05:50 PM,NAC411,0
23.,ACT201,23,KSR,ST 02:40 PM - 04:10 PM,NAC618,0
24.,ACT201,24,TSA,MW 08:00 AM - 09:30 AM,NAC603,0
25.,ACT201,25,HMM,ST 04:20 PM - 05:50 PM,NAC619,3
26.,ACT201,26,MfRn,RA 02:40 PM - 04:10 PM,NAC310,0
27.,ACT201,27,MOB,RA 09:40 AM - 11:10 AM,NAC310,0
28.,ACT201,28,KHM,RA 01:00 PM - 02:30 PM,NAC411,0
29.,ACT201,29,RQR,RA 01:00 PM - 02:30 PM,NAC414,0
30.,ACT201,30,MSKn,RA 04:20 PM - 05:50 PM,NAC309,15
31.,ACT201,31,MfRn,RA 04:20 PM - 05:50 PM,NAC619A,0
32.,ACT201,35,MN,MW 08:00 AM - 09:30 AM,NAC506,0
33.,ACT201,36,AUL,RA 01:00 PM - 02:30 PM,NAC619A,2
34.,ACT201,37,MN,MW 02:40 PM - 04:10 PM,NAC310,0
35.,ACT202,1,AHU,RA 02:40 PM - 04:10 PM,NAC206,0
36.,ACT202,2,FI,ST 01:00 PM - 02:30 PM,NAC411,0
37.,ACT202,3,FI,ST 02:40 PM - 04:10 PM,NAC309,0
38.,ACT202,4,IAC,ST 08:00 AM - 09:30 AM,NAC206,8
39.,ACT202,5,IAC,ST 09:40 AM - 11:10 AM,NAC309,2
40.,ACT202,6,MGR,MW 08:00 AM - 09:30 AM,NAC207,0
41.,ACT202,7,MIBS,ST 08:00 AM - 09:30 AM,NAC309,0
42.,ACT202,8,Rby,ST 11:20 AM - 12:50 PM,NAC309,0
43.,ACT202,9,MRE,RA 01:00 PM - 02:30 PM,NAC310,0
44.,ACT202,10,RBY,MW 08:00 AM - 09:30 AM,NAC310,0
45.,ACT202,11,RMH1,ST 08:00 AM - 09:30 AM,NAC411,0
46.,ACT202,12,RMH1,MW 08:00 AM - 09:30 AM,NAC411,0
47.,ACT202,13,SHA1,MW 01:00 PM - 02:30 PM,NAC513,1
48.,ACT202,14,SHA1,MW 02:40 PM - 04:10 PM,NAC617,0
49.,ACT202,15,MIBS,RA 09:40 AM - 11:10 AM,NAC207,0
50.,ACT202,16,MIBS,RA 11:20 AM - 12:50 PM,NAC310,0
51.,ACT202,17,SYS,MW 01:00 PM - 02:30 PM,NAC619,0
52.,ACT202,18,TSA,RA 08:00 AM - 09:30 AM,NAC206,0
53.,ACT202,19,TSA,RA 09:40 AM - 11:10 AM,NAC309,0
54.,ACT202,20,AUL,RA 11:20 AM - 12:50 PM,NAC411,1
55.,ACT202,21,NRh,RA 01:00 PM - 02:30 PM,NAC619,8
56.,ACT202,22,KHM,RA 04:20 PM - 05:50 PM,NAC310,0
57.,ACT202,23,RQR,RA 09:40 AM - 11:10 AM,NAC411,0
58.,ACT202,24,KSR,RA 11:20 AM - 12:50 PM,NAC414,0
59.,ACT202,25,MhMR,RA 08:00 AM - 09:30 AM,NAC207,10
60.,ACT310,1,AHU,RA 01:00 PM - 02:30 PM,NAC206,16
61.,ACT310,2,MGR,ST 08:00 AM - 09:30 AM,NAC207,0
62.,ACT310,3,RBY,ST 02:40 PM - 04:10 PM,NAC310,0
63.,ACT320,1,MGR,ST 09:40 AM - 11:10 AM,NAC411,20
64.,ACT320,2,RMH1,MW 09:40 AM - 11:10 AM,NAC414,0
65.,ACT360,1,RBY,ST 01:00 PM - 02:30 PM,NAC603,0
66.,ACT370,1,RMH1,ST 09:40 AM - 11:10 AM,NAC603,0
67.,ACT380,1,FJM,MW 04:20 PM - 05:50 PM,NAC619,9
68.,ACT410,1,AHU,ST 02:40 PM - 04:10 PM,NAC206,16
69.,ACT430,1,MGR,ST 11:20 AM - 12:50 PM,NAC513,0
70.,AMCS501,1,UMM,M 07:00 PM - 10:10 PM,SAC315,19
71.,AMCS501L,1,UMM,S 08:40 PM - 10:10 PM,LIB607,4
72.,AMCS506,1,MLA,T 07:00 PM - 10:10 PM,SAC315,18
73.,AMCS517,1,MTH,W 07:00 PM - 10:10 PM,SAC315,17
74.,AMCS517L,1,MTH,S 07:00 PM - 08:30 PM,LIB607,2
75.,ANT101,1,BSq,ST 11:20 AM - 12:50 PM,NAC1079,0
76.,ANT101,2,BSq,ST 02:40 PM - 04:10 PM,NAC1078,0
77.,ANT101,3,MHR3,ST 04:20 PM - 05:50 PM,NAC602,18
78.,ANT101,4,RJS,MW 09:40 AM - 11:10 AM,NAC1080,0
79.,ANT101,5,MTE,ST 11:20 AM - 12:50 PM,NAC602,0
80.,ANT101,6,TZf,MW 02:40 PM - 04:10 PM,NAC1078,0
81.,ANT101,7,RSP,RA 02:40 PM - 04:10 PM,NAC315,0
82.,ANT101,9,RJS,ST 11:20 AM - 12:50 PM,NAC620,1
83.,ARC111,1,ASAA,STR 09:40 AM - 12:50 PM,OAT803,0
84.,ARC111,2,RSBR,STR 09:40 AM - 12:50 PM,OAT803_V,0
85.,ARC111,3,RNN,STR 09:40 AM - 12:50 PM,OAT803_V1,0
86.,ARC111,4,ENM,STR 09:40 AM - 12:50 PM,OAT803_V2,1
87.,ARC121,1,NTL,MW 09:40 AM - 12:50 PM,OAT803,1
88.,ARC121,2,RSBR,MW 09:40 AM - 12:50 PM,OAT803_V,0
89.,ARC121,3,NSDI,MW 09:40 AM - 12:50 PM,OAT803_V1,0
90.,ARC121,5,ENM,MW 09:40 AM - 12:50 PM,OAT803_V2,0
91.,ARC122,1,SIU,MW 09:40 AM - 12:50 PM,LIB902,0
92.,ARC122,2,SNF,MW 09:40 AM - 12:50 PM,LIB902_V,0
93.,ARC122,3,RNN,MW 09:40 AM - 12:50 PM,LIB902_V1,0
94.,ARC123,1,RMY,MW 09:40 AM - 12:50 PM,LIB906,0
95.,ARC123,2,AHS1,MW 01:00 PM - 04:10 PM,LIB906,0
96.,ARC123,4,RMY,MW 01:00 PM - 04:10 PM,LIB906_V,0
97.,ARC131,1,SIK3,ST 08:00 AM - 09:30 AM,SAC201,0
98.,ARC131,2,AKD1,ST 01:00 PM - 02:30 PM,SAC401,0
99.,ARC131,3,AKD1,ST 02:40 PM - 04:10 PM,SAC401,8
100.,ARC131,4,AHS1,ST 01:00 PM - 02:30 PM,LIB908,0
101.,ARC133,1,RMY,W 08:00 AM - 09:30 AM,LIB908,0
102.,ARC133,2,SNF,M 08:00 AM - 09:30 AM,LIB908,5
103.,ARC200,2,SSIM,W 01:00 PM - 04:10 PM,LIB908,4
104.,ARC213,1,HUR,STR 09:40 AM - 12:50 PM,LIB901,2
105.,ARC213,2,NTL,STR 09:40 AM - 12:50 PM,LIB901_V,0
106.,ARC213,3,AKD1,STR 09:40 AM - 12:50 PM,LIB901_v1,2
107.,ARC215,1,SIU,STR 09:40 AM - 12:50 PM,LIB910,0
108.,ARC215,2,SNF,STR 09:40 AM - 12:50 PM,LIB913,0
109.,ARC215,3,OFS,STR 09:40 AM - 12:50 PM,LIB910_V,0
110.,ARC241,1,SQR,ST 02:40 PM - 04:10 PM,LIB907,0
111.,ARC242,1,SIK3,ST 02:40 PM - 04:10 PM,SAC201,5
112.,ARC251,1,MTM2,ST 01:00 PM - 02:30 PM,LIB602,0
113.,ARC251,2,MTM2,ST 02:40 PM - 04:10 PM,LIB908,5
114.,ARC261,1,SIU,ST 01:00 PM - 02:30 PM,LIB607,0
115.,ARC262,1,SIU,MW 01:00 PM - 02:30 PM,SAC401,0
116.,ARC263,1,MFN,ST 01:00 PM - 02:30 PM,LIB907,9
117.,ARC264,1,HUR,R 01:00 PM - 04:10 PM,LIB907,11
118.,ARC271,1,AKD1,MW 02:40 PM - 04:10 PM,SAC201,0
119.,ARC271,2,NTL,MW 08:00 AM - 09:30 AM,SAC313,2
120.,ARC272,1,MUN,MW 01:00 PM - 02:30 PM,LIB907,6
121.,ARC273,1,NTL,S 04:20 PM - 07:30 PM,LIB1002,0
122.,ARC273,2,NTL,T 04:20 PM - 07:30 PM,LIB1002,0
123.,ARC281,1,NMSN,M 04:20 PM - 07:20 PM,LIB908,0
124.,ARC282,1,NMSN,R 01:00 PM - 04:10 PM,LIB908,1
125.,ARC293,1,ASAA,ST 02:40 PM - 05:50 PM,LIB906,0
126.,ARC310,1,SNF,MW 01:00 PM - 04:10 PM,LIB902,3
127.,ARC316,1,AHS1,STR 09:40 AM - 12:50 PM,OAT902,2
128.,ARC316,2,RMY,STR 09:40 AM - 12:50 PM,OAT903,0
129.,ARC316,3,NSDI,STR 09:40 AM - 12:50 PM,OAT902_V,1
130.,ARC317,1,SSIM,STWR 09:40 AM - 12:50 PM,LIB904,1
131.,ARC317,2,MFN,STWR 09:40 AM - 12:50 PM,LIB904_V,0
132.,ARC317,3,MZC,STWR 09:40 AM - 12:50 PM,LIB905,0
133.,ARC318,1,MUN,STWR 09:40 AM - 12:50 PM,OAT1001,7
134.,ARC324,1,HUR,ST 01:00 PM - 04:10 PM,LIB902,0
135.,ARC334,1,AHs1,W 08:00 AM - 09:30 AM,LIB907,7
136.,ARC343,1,MUN,MW 02:40 PM - 04:10 PM,LIB907,3
137.,ARC344,1,HUR,ST 08:00 AM - 09:30 AM,LIB907,20
138.,ARC384,1,TMY,MW 01:00 PM - 02:30 PM,SAC203,21
139.,ARC410,1,SJD,ST 08:00 AM - 09:30 AM,LIB902,5
140.,ARC418,1,NAW,STWR 09:40 AM - 12:50 PM,LIB903,0
141.,ARC418,2,MTM2,STWR 09:40 AM - 12:50 PM,LIB903_V,1
142.,ARC419,1,SIK3,STWR 09:40 AM - 12:50 PM,OAT1002,1
143.,ARC437,1,HUR,R 08:00 AM - 09:30 AM,LIB907,0
144.,ARC445,1,SIK3,ST 01:00 PM - 02:30 PM,LIB609,11
145.,ARC453,1,NAW,MW 08:00 AM - 09:30 AM,SAC201,13
146.,ARC456,1,NAW,ST 08:00 AM - 09:30 AM,SAC203,16
147.,ARC492,1,SJD,R 08:00 AM - 09:30 AM,LIB908,0
148.,ARC500,1,MFN,R 01:00 PM - 04:10 PM,TBA,9
149.,ARC510,1,SQR,STR 09:40 AM - 12:50 PM,OAT1003,0
150.,ARC576,1,ASAA,ST 08:00 AM - 09:30 AM,LIB908,15
151.,ARC598,1,SSIM,R 01:00 PM - 02:30 PM,NAC1077,0
152.,BBT203,3,OAH,RA 02:40 PM - 04:10 PM,NAC513,0
153.,BBT203,5,OAH,MW 08:00 AM - 09:30 AM,NAC513,5
154.,BBT221,2,ARIM,ST 04:20 PM - 05:50 PM,SAC403,0
155.,BBT221,3,PYN,MW 02:40 PM - 04:10 PM,SAC402,12
156.,BBT221,4,NTA,MW 11:20 AM - 12:50 PM,SAC802,12
157.,BBT221,5,NRO,RA 09:40 AM - 11:10 AM,SAC406,0
158.,BBT221,6,TSHQ,MW 04:20 PM - 05:50 PM,SAC207,0
159.,BBT230,1,OAH,RA 09:40 AM - 11:10 AM,NAC513,0
160.,BBT230,2,OAH,RA 11:20 AM - 12:50 PM,NAC513,0
161.,BBT230,5,PYN,MW 04:20 PM - 05:50 PM,NAC513,15
162.,BBT230,6,OAH,MW 02:40 PM - 04:10 PM,LIB606,0
163.,BBT312,1,MSH3,ST 09:40 AM - 11:10 AM,SAC404,0
164.,BBT312,2,MSH3,ST 01:00 PM - 02:30 PM,SAC404,0
165.,BBT312,3,MSH3,MW 09:40 AM - 11:10 AM,SAC405,0
166.,BBT312,4,MSH3,MW 01:00 PM - 02:30 PM,SAC404,0
167.,BBT312L,1,IJN,W 02:30 PM - 05:30 PM,SAC412,7
168.,BBT312L,2,IJn,S 02:40 PM - 05:50 PM,SAC412_v2,0
169.,BBT312L,3,MAKN,S 11:20 AM - 02:30 PM,SAC412_v2,0
170.,BBT312L,4,MAKN,M 11:20 AM - 02:30 PM,SAC412_v2,2
171.,BBT312L,5,MAKN,T 11:20 AM - 02:30 PM,SAC412_V,0
172.,BBT314,1,KNH,ST 11:20 AM - 12:50 PM,SAC404,0
173.,BBT314,2,KNH,ST 02:40 PM - 04:10 PM,SAC404,0
174.,BBT314,3,MAKN,MW 08:00 AM - 09:30 AM,SAC407,0
175.,BBT314,4,MAKN,MW 09:40 AM - 11:10 AM,SAC202,0
176.,BBT314L,1,SMDA,W 11:15 AM - 02:15 PM,SAC414,5
177.,BBT314L,2,SMDA,W 11:20 AM - 02:30 PM,SAC414_v2,1
178.,BBT314L,5,MAKN,T 02:40 PM - 05:50 PM,SAC414_V3,1
179.,BBT314L,6,MAKN,S 02:40 PM - 05:50 PM,SAC414_V3,0
180.,BBT314L,7,MAKN,S 02:40 PM - 05:50 PM,SAC414_v2,10
181.,BBT315,1,SMDA,ST 11:20 AM - 12:50 PM,SAC202,0
182.,BBT315,2,SMDA,ST 09:40 AM - 11:10 AM,SAC202,0
183.,BBT315,3,MAKN,ST 08:00 AM - 09:30 AM,SAC406,0
184.,BBT315,4,ARIM,RA 02:40 PM - 04:10 PM,SAC402,0
185.,BBT316,1,KNH,MW 09:40 AM - 11:10 AM,SAC404,7
186.,BBT316,2,KNH,MW 11:20 AM - 12:50 PM,SAC404,0
187.,BBT316L,1,NRO,R 11:15 AM - 02:15 PM,SAC414,0
188.,BBT316L,2,NRO,R 11:20 AM - 02:30 PM,SAC414_v2,0
189.,BBT316L,3,NRO,R 02:30 PM - 05:30 PM,SAC414,3
190.,BBT317,1,SDL,MW 09:40 AM - 11:10 AM,SAC402,9
191.,BBT317,2,SDL,MW 01:00 PM - 02:30 PM,SAC402,2
192.,BBT317,3,MSH3,ST 08:00 AM - 09:30 AM,SAC404,0
193.,BBT318,1,SDL,ST 09:40 AM - 11:10 AM,SAC402,18
194.,BBT318,2,SDL,ST 02:40 PM - 04:10 PM,SAC402,7
195.,BBT318,3,MALM,MW 02:40 PM - 04:10 PM,NAC415,0
196.,BBT335,1,IJN,ST 09:40 AM - 11:10 AM,SAC403,1
197.,BBT335,2,IJN,ST 01:00 PM - 02:30 PM,SAC403,2
198.,BBT413,1,CAK,ST 09:40 AM - 11:10 AM,SAC405,0
199.,BBT413,2,CAK,ST 01:00 PM - 02:30 PM,SAC406,0
200.,BBT413L,1,CAK,T 02:30 PM - 05:30 PM,SAC412,0
201.,BBT413L,2,CAK,T 02:40 PM - 05:50 PM,SAC412_v2,7
202.,BBT415,1,CAK,MW 11:20 AM - 12:50 PM,SAC402,0
203.,BBT415L,1,IJn,S 02:30 PM - 05:30 PM,SAC412,0
204.,BBT415L,2,IJn,W 02:40 PM - 05:50 PM,SAC412_v2,4
205.,BBT416/MIC311,1,MQN,MW 11:20 AM - 12:50 PM,NAC513,0
206.,BBT416/MIC311,2,MQN,MW 02:40 PM - 04:10 PM,LIB605,9
207.,BBT417,1,IJN,MW 09:40 AM - 11:10 AM,SAC407,14
208.,BBT417,2,IJN,MW 01:00 PM - 02:30 PM,SAC407,3
209.,BBT419,1,SDL,ST 11:20 AM - 12:50 PM,SAC402,1
210.,BBT421,1,KNH,MW 02:40 PM - 04:10 PM,SAC404,6
211.,BBT422,1,TBA,TBA,TBA,0
212.,BBT422,2,TBA,TBA,TBA,1
213.,BBT422,3,TBA,TBA,TBA,8
214.,BBT422,4,TBA,TBA,TBA,7
215.,BBT422,5,TBA,TBA,TBA,4
216.,BBT423,1,MSH3,MW 08:00 AM - 09:30 AM,SAC404,9
217.,BBT424,1,SMDA,ST 02:40 PM - 04:10 PM,SAC406,0
218.,BBT427,1,MALM,ST 08:00 AM - 09:30 AM,SAC402,4
219.,BBT601,1,IQM,S 07:00 PM - 10:10 PM,SAC404,13
220.,BBT608/BBT609,1,AWN,T 07:00 PM - 10:10 PM,SAC406,22
221.,BBT615/BBT616,1,IQM,R 07:00 PM - 10:10 PM,SAC406,22
222.,BBT622/BBT623,1,SRS1,W 07:00 PM - 10:10 PM,SAC313,23
223.,BBT631,1,CQA,T 07:00 PM - 10:10 PM,SAC405,25
224.,BBT638/BBT639,1,SBI,M 07:00 PM - 10:10 PM,SAC406,24
225.,BBT659,1,SDL,W 07:00 PM - 10:10 PM,SAC405,22
